id,title,description,availability,condition,price,link,image_link,brand,product_type
AA-SPORT-12x50,Aïn Atlas bouchons sport pack 12x50cl,Eau de source bouchon sport 12x50cl | Vendu par pack de 12,in stock,new,42.00 MAD,https://oulmes.ma/produit/AA-SPORT-12x50,https://oulmes.ma/images/AA-SPORT-12x50.jpg,Aïn Atlas,Eau plate > Aïn Atlas
AA-12x33,Aïn Atlas pack 12x33cl,Eau de source naturelle 12x33cl | Vendu par pack de 12,in stock,new,24.00 MAD,https://oulmes.ma/produit/AA-12x33,https://oulmes.ma/images/AA-12x33.jpg,Aïn Atlas,Eau plate > Aïn Atlas
AA-12x50,Aïn Atlas pack 12x50cl,Eau de source naturelle 12x50cl | Vendu par pack de 12,in stock,new,36.00 MAD,https://oulmes.ma/produit/AA-12x50,https://oulmes.ma/images/AA-12x50.jpg,Aïn Atlas,Eau plate > Aïn Atlas
AA-2x5L,Aïn Atlas pack 2x5L,Eau de source naturelle 2x5L | Vendu par pack de 2,in stock,new,23.80 MAD,https://oulmes.ma/produit/AA-2x5L,https://oulmes.ma/images/AA-2x5L.jpg,Aïn Atlas,Eau plate > Aïn Atlas
AA-6x150,"Aïn Atlas pack 6x1,5L","Eau de source naturelle 6x1,5L | Vendu par pack de 6",in stock,new,33.00 MAD,https://oulmes.ma/produit/AA-6x150,https://oulmes.ma/images/AA-6x150.jpg,Aïn Atlas,Eau plate > Aïn Atlas
BAH-BON-AC,"Bahia bonbonne 18,9L avec consignation","Bonbonne Bahia 18,9L avec consignation | Vendu par unité de 1",in stock,new,59.00 MAD,https://oulmes.ma/produit/BAH-BON-AC,https://oulmes.ma/images/BAH-BON-AC.jpg,Bahia,Bonbonne & Fontaine > Bahia
BAH-BON-SC,"Bahia bonbonne 18,9L sans consignation","Bonbonne Bahia 18,9L sans consignation | Vendu par unité de 1",in stock,new,39.00 MAD,https://oulmes.ma/produit/BAH-BON-SC,https://oulmes.ma/images/BAH-BON-SC.jpg,Bahia,Bonbonne & Fontaine > Bahia
BAH-2x5L,Bahia pack 2x5L,Eau plate naturelle 2x5L | Vendu par pack de 2,in stock,new,22.00 MAD,https://oulmes.ma/produit/BAH-2x5L,https://oulmes.ma/images/BAH-2x5L.jpg,Bahia,Eau plate > Bahia
BAH-6x150,"Bahia pack 6x1,5L","Eau plate naturelle 6x1,5L | Vendu par pack de 6",in stock,new,24.00 MAD,https://oulmes.ma/produit/BAH-6x150,https://oulmes.ma/images/BAH-6x150.jpg,Bahia,Eau plate > Bahia
BAH-FONTAINE,Fontaine à eau Bahia,Fontaine à eau Bahia | Vendu par unité de 1,in stock,new,1150.00 MAD,https://oulmes.ma/produit/BAH-FONTAINE,https://oulmes.ma/images/BAH-FONTAINE.jpg,Bahia,Bonbonne & Fontaine > Bahia
